Id;Ano;Mes;Fornecedor_Id;Valor_dia;Regiao_Id;Zona_Id;Categoria_Id;;;;;;;;0,180690245;3-superartista;0,227181974;2-ArtistasMedios;0,592127781;1-PequenosArtistas
585;2026;2;1140;7400;2;2;1;;;;;;;;;;;;;
587;2026;2;976;7400;32;6;1;;;;;;;;;;;;;
593;2026;2;1113;7400;32;6;1;;;;;;;;;;;;;
596;2026;2;857;6500;29;5;1;;;;;;;;;;;;;
600;2026;2;6832;1285,714286;1;1;1;;;;;;;;;;;;;
601;2026;2;881;3000;32;6;1;;;;;;;;;;;;;
603;2026;2;1128;6000;32;6;1;;;;;;;;;;;;;
605;2026;2;919;3500;29;5;1;;;;;;;;;;;;;
607;2026;2;1146;14800;28;5;2;;;;;;;;;;;;;
610;2026;2;1149;5000;21;4;1;;;;;;;;;;;;;
611;2026;2;1053;1000;16;3;1;;;;;;;;;;;;;
612;2026;2;1053;1000;24;5;1;;;;;;;;;;;;;
616;2026;2;1153;5000;31;5;1;;;;;;;;;;;;;
617;2026;2;1154;7400;32;6;1;;;;;;;;;;;;;
622;2026;2;932;6000;26;5;1;;;;;;;;;;;;;
623;2026;2;1156;3500;28;5;1;;;;;;;;;;;;;
625;2026;2;1157;7400;13;3;1;;;;;;;;;;;;;
628;2026;2;1109;7400;1;1;1;;;;;;;;;;;;;
629;2026;2;1128;6000;32;6;1;;;;;;;;;;;;;
630;2026;2;1159;16500;4;2;2;;;;;;;;;;;;;
631;2026;2;1160;1285,714286;7;2;1;;;;;;;;;;;;;
632;2026;2;1027;6000;30;5;1;;;;;;;;;;;;;
634;2026;2;849;1333,333333;1;1;1;;;;;;;;;;;;;
635;2026;2;850;90000;26;5;3;;;;;;;;;;;;;
638;2026;11;789;3500;1;1;1;;;;;;;;;;;;;
640;2026;11;1162;5000;24;5;1;;;;;;;;;;;;;
641;2026;2;87;25000;1;1;2;;;;;;;;;;;;;
642;2026;2;88;25000;32;6;2;;;;;;;;;;;;;
643;2026;2;30;25000;14;3;2;;;;;;;;;;;;;
648;2026;11;796;3500;32;6;1;;;;;;;;;;;;;
649;2026;2;1166;3500;1;1;1;;;;;;;;;;;;;
652;2026;12;1168;7400;32;6;1;;;;;;;;;;;;;
654;2026;2;907;3000;32;6;1;;;;;;;;;;;;;
655;2026;11;1170;5000;32;6;1;;;;;;;;;;;;;
